,,,,,,,,Producer/Merchant/Processor/User - All - Long ,Producer/Merchant/Processor/User - All - Short,Swap Dealers – All - Long,Swap Dealers – All – Short,,Managed Money - All - Long,Managed Money - All - Short,,Other Reportables - All - Long,Other Reportables - All - Short,,,,Nonreportable Positions – Long,Nonreportable Positions – Short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ SRECS - ICE FUTURES ENERGY DIV,210803,2021-08-03,0063CC,IFED,1,6,159104,83075,135018,2603,4340,249,0,0,0,70227,16547,2950,159104,159104,0,0,159104,83075,135018,2603,4340,249,0,0,0,70227,16547,2950,159104,159104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42244,-28942,-31243,770,0,-721,0,0,0,-13341,-10270,-10,-42244,-42244,0,0,100,52.2,84.9,1.6,2.7,0.2,0,0,0,44.1,10.4,1.9,100,100,0,0,100,52.2,84.9,1.6,2.7,0.2,0,0,0,44.1,10.4,1.9,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,14,8,.,.,.,0,0,0,7,4,4,24,16,32,14,8,.,.,.,0,0,0,7,4,4,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.6,86.6,85.2,97.3,63.6,84.4,85.2,93.4,63.6,86.6,85.2,97.3,63.6,84.4,85.2,93.4,0,0,0,0,0,0,0,0,(10 SRECs),0063CC,IFED,6,N60,FutOnly
PJM TRI-RECs CLASS 1  - ICE FUTURES ENERGY DIV,210803,2021-08-03,0063CH,IFED,1,6,164595,111345,122482,23185,0,250,0,0,0,21985,34033,7830,164595,164595,0,0,164595,111345,122482,23185,0,250,0,0,0,21985,34033,7830,164595,164595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48095,-34689,-30255,1985,-981,-1928,0,0,0,-9215,-10683,-2416,-46263,-46263,-1832,-1832,100,67.6,74.4,14.1,0,0.2,0,0,0,13.4,20.7,4.8,100,100,0,0,100,67.6,74.4,14.1,0,0.2,0,0,0,13.4,20.7,4.8,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,18,10,.,0,.,0,0,0,7,4,6,30,20,36,18,10,.,0,.,0,0,0,7,4,6,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9,79.9,64.4,94.3,38.9,77.9,64,87.2,38.9,79.9,64.4,94.3,38.9,77.9,64,87.2,0,0,0,0,0,0,0,0,100 MWh of renewable energy certificates,0063CH,IFED,6,N60,FutOnly
CALIF CARBON VINTAGE 2021 - ICE FUTURES ENERGY DIV,210803,2021-08-03,0063CJ,IFED,1,6,132666,25079,39523,11890,34258,4377,75501,2235,1275,13003,49477,1484,132609,132629,57,37,132666,25079,39523,11890,34258,4377,75501,2235,1275,13003,49477,1484,132609,132629,57,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15065,-7871,-10379,-22,-299,-1649,-466,-103,191,-2975,-607,-2255,-15047,-15101,-18,36,100,18.9,29.8,9,25.8,3.3,56.9,1.7,1,9.8,37.3,1.1,100,100,0,0,100,18.9,29.8,9,25.8,3.3,56.9,1.7,1,9.8,37.3,1.1,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,17,16,4,5,6,28,.,4,20,12,8,79,43,93,17,16,4,5,6,28,.,4,20,12,8,79,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4,33.3,57.1,57.3,39.7,32.8,56.3,56.8,40.4,33.3,57.1,57.3,39.7,32.8,56.3,56.8,0,0,0,0,0,0,0,0,"1,000 California carbon allowances",0063CJ,IFED,6,N60,FutOnly
CALIF CARBON ALLOWANCE V2022 - ICE FUTURES ENERGY DIV,210803,2021-08-03,0063D9,IFED,1,6,69244,26332,31213,3781,28263,1900,22609,0,0,13887,7133,735,69244,69244,0,0,69244,26332,31213,3781,28263,1900,22609,0,0,13887,7133,735,69244,69244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-156,-475,-23,0,-142,0,485,0,0,-166,14,0,-156,-151,0,-5,100,38,45.1,5.5,40.8,2.7,32.7,0,0,20.1,10.3,1.1,100,100,0,0,100,38,45.1,5.5,40.8,2.7,32.7,0,0,20.1,10.3,1.1,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,15,9,.,6,.,14,0,0,12,4,.,45,21,56,15,9,.,6,.,14,0,0,12,4,.,45,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.1,58.9,61.3,87.1,42.1,58.5,60.7,84,42.1,58.9,61.3,87.1,42.1,58.5,60.7,84,0,0,0,0,0,0,0,0,"1,000 California carbon allowances",0063D9,IFED,6,N60,FutOnly
PA SOLAR ALTER ENERGY CREDIT - ICE FUTURES ENERGY DIV,210803,2021-08-03,0063DA,IFED,1,6,20914,11723,10572,350,1840,195,0,0,0,7844,7505,802,20914,20914,0,0,20914,11723,10572,350,1840,195,0,0,0,7844,7505,802,20914,20914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-565,-110,-1079,0,98,-98,0,0,0,-357,525,0,-565,-554,0,-11,100,56.1,50.5,1.7,8.8,0.9,0,0,0,37.5,35.9,3.8,100,100,0,0,100,56.1,50.5,1.7,8.8,0.9,0,0,0,37.5,35.9,3.8,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,5,.,.,.,0,0,0,4,.,.,16,9,21,9,5,.,.,.,0,0,0,4,.,.,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.4,86.9,93,99.3,77.8,85.9,89.4,93.1,81.4,86.9,93,99.3,77.8,85.9,89.4,93.1,0,0,0,0,0,0,0,0,(10 PA SRECs),0063DA,IFED,6,N60,FutOnly
CALIF CARBON CURRENT AUCTION - ICE FUTURES ENERGY DIV,210803,2021-08-03,0063DB,IFED,1,6,40247,18365,4926,17120,900,0,450,14408,350,750,16434,3200,40235,40218,12,29,40247,18365,4926,17120,900,0,450,14408,350,750,16434,3200,40235,40218,12,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3024,2024,-126,350,0,0,0,0,200,-50,2450,500,3024,3024,0,0,100,45.6,12.2,42.5,2.2,0,1.1,35.8,0.9,1.9,40.8,8,100,99.9,0,0.1,100,45.6,12.2,42.5,2.2,0,1.1,35.8,0.9,1.9,40.8,8,100,99.9,0,0.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,11,5,.,.,0,.,.,.,.,6,.,20,15,25,11,5,.,.,0,.,.,.,.,6,.,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.2,66.8,84.6,88.8,58.1,62.8,73.6,76.7,67.2,66.8,84.6,88.8,58.1,62.8,73.6,76.7,0,0,0,0,0,0,0,0,"1,000 California carbon allowances",0063DB,IFED,6,N60,FutOnly
CT RECs CLASS 1  - ICE FUTURES ENERGY DIV,210803,2021-08-03,0063DK,IFED,1,6,15282,12725,12973,554,50,108,0,0,0,1785,2041,110,15282,15282,0,0,15282,12725,12973,554,50,108,0,0,0,1785,2041,110,15282,15282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,100,0,100,100,0,0,100,83.3,84.9,3.6,0.3,0.7,0,0,0,11.7,13.4,0.7,100,100,0,0,100,83.3,84.9,3.6,0.3,0.7,0,0,0,11.7,13.4,0.7,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,11,.,.,.,0,0,0,.,5,.,12,19,26,9,11,.,.,.,0,0,0,.,5,.,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.3,71.2,96.2,86.1,80.2,71.2,92.3,85.8,82.3,71.2,96.2,86.1,80.2,71.2,92.3,85.8,0,0,0,0,0,0,0,0,100 MWh of Class 1 Renewable Energy Certificates,0063DK,IFED,6,N60,FutOnly
MASS COMPLIANCE RECs CLASS 1  - ICE FUTURES ENERGY DIV,210803,2021-08-03,0063DL,IFED,1,6,16465,11974,11094,3316,50,0,0,0,0,860,5006,315,16465,16465,0,0,16465,11974,11094,3316,50,0,0,0,0,860,5006,315,16465,16465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,72.7,67.4,20.1,0.3,0,0,0,0,5.2,30.4,1.9,100,100,0,0,100,72.7,67.4,20.1,0.3,0,0,0,0,5.2,30.4,1.9,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,10,10,.,.,0,0,0,0,.,.,.,14,15,23,10,10,.,.,0,0,0,0,.,.,.,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.5,68.8,93.7,92.3,76.7,68.8,86.1,85.7,78.5,68.8,93.7,92.3,76.7,68.8,86.1,85.7,0,0,0,0,0,0,0,0,100 MWh of Class 1 Renewable Energy Certificates,0063DL,IFED,6,N60,FutOnly
MARYLAND SOLAR REC - ICE FUTURES ENERGY DIV,210803,2021-08-03,0063DN,IFED,1,6,44499,20108,26345,200,136,428,0,0,0,21058,14885,2705,44499,44499,0,0,44499,20108,26345,200,136,428,0,0,0,21058,14885,2705,44499,44499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,0,16,0,0,0,0,0,0,0,0,0,0,0,100,45.2,59.2,0.4,0.3,1,0,0,0,47.3,33.5,6.1,100,100,0,0,100,45.2,59.2,0.4,0.3,1,0,0,0,47.3,33.5,6.1,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,15,8,.,.,.,0,0,0,5,.,4,24,14,26,15,8,.,.,.,0,0,0,5,.,4,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,67.6,74.9,93.5,49.8,61.8,68.1,77.7,52.5,67.6,74.9,93.5,49.8,61.8,68.1,77.7,0,0,0,0,0,0,0,0,(10 SRECs),0063DN,IFED,6,N60,FutOnly
RGGI VINTAGE 2021 - ICE FUTURES ENERGY DIV,210803,2021-08-03,0063DW,IFED,1,6,42078,19202,29682,9420,8903,0,12633,0,0,803,3493,0,42058,42078,20,0,42078,19202,29682,9420,8903,0,12633,0,0,803,3493,0,42058,42078,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1324,-819,-563,295,-450,-238,64,0,0,-33,515,-588,-1319,-1324,-5,0,100,45.6,70.5,22.4,21.2,0,30,0,0,1.9,8.3,0,100,100,0,0,100,45.6,70.5,22.4,21.2,0,30,0,0,1.9,8.3,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,13,10,.,.,0,.,0,0,6,6,0,25,18,39,13,10,.,.,0,.,0,0,6,6,0,25,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.4,80.2,84.9,94.1,58.4,80.2,79.3,88.8,58.4,80.2,84.9,94.1,58.4,80.2,79.3,88.8,0,0,0,0,0,0,0,0,"1,000 RGGI CO2 Allowances",0063DW,IFED,6,N60,FutOnly
CALIF CARBON ALLOWANCE V2023 - ICE FUTURES ENERGY DIV,210803,2021-08-03,0063DX,IFED,1,6,26052,12625,16142,3210,5674,59,2009,600,0,5426,955,2621,25950,26051,102,1,26052,12625,16142,3210,5674,59,2009,600,0,5426,955,2621,25950,26051,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,50,0,0,50,50,0,0,100,48.5,62,12.3,21.8,0.2,7.7,2.3,0,20.8,3.7,10.1,99.6,100,0.4,0,100,48.5,62,12.3,21.8,0.2,7.7,2.3,0,20.8,3.7,10.1,99.6,100,0.4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,9,6,.,4,.,4,.,0,5,.,.,24,14,31,9,6,.,4,.,4,.,0,5,.,.,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,78,81.1,94.4,56.1,76,74.7,85.1,57.5,78,81.1,94.4,56.1,76,74.7,85.1,0,0,0,0,0,0,0,0,"1,000 California carbon allowances",0063DX,IFED,6,N60,FutOnly
SOYBEAN OIL - CHICAGO BOARD OF TRADE,210803,2021-08-03,7601,CBT ,0,7,438467,97357,265039,107173,6341,13179,85120,20103,48381,16817,19035,39034,407061,411112,31406,27355,67413,24449,51455,4080,2185,2,12045,4059,0,20876,6456,64,61516,64221,5897,3192,371054,72908,213584,104569,5632,11701,82259,25228,39197,13384,30022,21527,345545,346891,25509,24163,-3202,-9811,-7069,2929,-256,-293,4494,1008,505,126,2707,-877,-2927,-4275,-275,1073,100,22.2,60.4,24.4,1.4,3,19.4,4.6,11,3.8,4.3,8.9,92.8,93.8,7.2,6.2,100,36.3,76.3,6.1,3.2,0,17.9,6,0,31,9.6,0.1,91.3,95.3,8.7,4.7,100,19.6,57.6,28.2,1.5,3.2,22.2,6.8,10.6,3.6,8.1,5.8,93.1,93.5,6.9,6.5,291,67,75,24,10,14,66,21,36,30,31,39,237,190,166,38,48,12,9,.,23,7,0,23,12,4,99,80,281,60,67,24,10,14,62,25,32,25,34,32,219,177,15,28.2,23.7,39.8,9.9,24.7,15.7,31.8,38.4,32,50,47.8,38.4,30.8,50,46.4,15.2,28.9,23.7,42,11.3,26,17.9,35.2,"(CONTRACTS OF 60,000 POUNDS)",7601,CBT ,7,A30,FutOnly
MARINE FUEL OIL 0.5% FOB USGC - ICE FUTURES ENERGY DIV,210803,2021-08-03,21397,IFED,1,21,6102,5616,5933,133,0,151,0,0,0,75,0,0,5975,6084,127,18,6102,5616,5933,133,0,151,0,0,0,75,0,0,5975,6084,127,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-879,-842,-854,-20,0,-5,0,0,0,20,0,-20,-867,-879,-12,0,100,92,97.2,2.2,0,2.5,0,0,0,1.2,0,0,97.9,99.7,2.1,0.3,100,92,97.2,2.2,0,2.5,0,0,0,1.2,0,0,97.9,99.7,2.1,0.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,15,.,0,.,0,0,0,.,0,0,17,16,21,14,15,.,0,.,0,0,0,.,0,0,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4,58.6,84.3,85.8,39.2,41.3,45.1,46.9,71.4,58.6,84.3,85.8,39.2,41.3,45.1,46.9,0,0,0,0,0,0,0,0,1000 barrels,21397,IFED,21,N10,FutOnly
USGC HSFO (PLATTS) - ICE FUTURES ENERGY DIV,210803,2021-08-03,02141B,IFED,1,21,16057,10559,11950,192,1120,678,0,0,27,3390,923,923,15769,15621,288,436,16057,10559,11950,192,1120,678,0,0,27,3390,923,923,15769,15621,288,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3814,-2953,-3816,21,79,4,0,0,27,-605,86,-294,-3800,-3914,-14,100,100,65.8,74.4,1.2,7,4.2,0,0,0.2,21.1,5.7,5.7,98.2,97.3,1.8,2.7,100,65.8,74.4,1.2,7,4.2,0,0,0.2,21.1,5.7,5.7,98.2,97.3,1.8,2.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,18,31,.,4,5,0,0,.,5,.,4,31,43,47,18,31,.,4,5,0,0,.,5,.,4,31,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6,40.4,67,56.2,33.7,25.6,48.7,36.8,43.6,40.4,67,56.2,33.7,25.6,48.7,36.8,0,0,0,0,0,0,0,0,1000 barrels,02141B,IFED,21,N10,FutOnly
